filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
7.txt 300000.0 671969.3795614647 671969.3795614647 671969.3795614647 671969.3795614647 671969.3795614647 671969.3795614647 671969.3795614647 671969.3795614647 671969.3795614647 671969.3795614647 
8.txt 300000.0 690784.5101805499 690784.5101805499 690784.5101805499 690784.5101805499 690784.5101805499 690784.5101805499 690784.5101805499 690784.5101805499 690784.5101805499 690784.5101805499 
9.txt 300000.0 721948.0734148852 721948.0734148852 721948.0734148852 721948.0734148852 721948.0734148852 721948.0734148852 721948.0734148852 721948.0734148852 721948.0734148852 721948.0734148852 
1.txt 400000.0 1029391.2660671179 1043350.1543256268 1043350.1543256268 1043350.1543256268 1043350.1543256268 1043350.1543256268 1043350.1543256268 1043350.1543256268 1043350.1543256268 1043350.1543256268 
10.txt 400000.0 937489.9565740394 937489.9565740394 937489.9565740394 937489.9565740394 937489.9565740394 937489.9565740394 937489.9565740394 937489.9565740394 937489.9565740394 937489.9565740394 
2.txt 400000.0 924373.3684776932 924373.3684776932 924373.3684776932 924373.3684776932 924373.3684776932 924373.3684776932 924373.3684776932 924373.3684776932 924373.3684776932 924373.3684776932 
3.txt 400000.0 920183.8715541407 920183.8715541407 920183.8715541407 920183.8715541407 920183.8715541407 920183.8715541407 920183.8715541407 920183.8715541407 920183.8715541407 920183.8715541407 
4.txt 400000.0 942561.2658402455 942561.2658402455 942561.2658402455 942561.2658402455 942561.2658402455 942561.2658402455 942561.2658402455 942561.2658402455 942561.2658402455 942561.2658402455 
5.txt 400000.0 947447.3219482627 947447.3219482627 947447.3219482627 947447.3219482627 947447.3219482627 947447.3219482627 947447.3219482627 947447.3219482627 947447.3219482627 947447.3219482627 
6.txt 400000.0 834136.6038975302 834136.6038975302 834136.6038975302 834136.6038975302 834136.6038975302 834136.6038975302 834136.6038975302 834136.6038975302 834136.6038975302 834136.6038975302 
7.txt 400000.0 1051785.2736533412 1051785.2736533412 1051785.2736533412 1051785.2736533412 1051785.2736533412 1051785.2736533412 1051785.2736533412 1051785.2736533412 1051785.2736533412 1051785.2736533412 
8.txt 400000.0 842000.3364075039 842000.3364075039 842000.3364075039 842000.3364075039 842000.3364075039 842000.3364075039 842000.3364075039 842000.3364075039 842000.3364075039 842000.3364075039 
9.txt 400000.0 845832.5255315483 845832.5255315483 845832.5255315483 845832.5255315483 845832.5255315483 845832.5255315483 845832.5255315483 845832.5255315483 845832.5255315483 845832.5255315483 
1.txt 500000.0 1325074.7154695063 1287354.6114447983 1287354.6114447983 1287354.6114447983 1287354.6114447983 1287354.6114447983 1287354.6114447983 1287354.6114447983 1287354.6114447983 1287354.6114447983 
10.txt 500000.0 1121082.3101215747 1121082.3101215747 1121082.3101215747 1121082.3101215747 1121082.3101215747 1121082.3101215747 1121082.3101215747 1121082.3101215747 1121082.3101215747 1121082.3101215747 
2.txt 500000.0 1040535.5504875871 1040535.5504875871 1040535.5504875871 1040535.5504875871 1040535.5504875871 1040535.5504875871 1040535.5504875871 1040535.5504875871 1040535.5504875871 1040535.5504875871 
3.txt 500000.0 1225400.874785541 1225400.874785541 1225400.874785541 1225400.874785541 1225400.874785541 1225400.874785541 1225400.874785541 1225400.874785541 1225400.874785541 1225400.874785541 
4.txt 500000.0 1233399.725401589 1233399.725401589 1233399.725401589 1233399.725401589 1233399.725401589 1233399.725401589 1233399.725401589 1233399.725401589 1233399.725401589 1233399.725401589 
5.txt 500000.0 1248737.927087128 1248737.927087128 1248737.927087128 1248737.927087128 1248737.927087128 1248737.927087128 1248737.927087128 1248737.927087128 1248737.927087128 1248737.927087128 
6.txt 500000.0 1010872.5886307197 1010872.5886307197 1010872.5886307197 1010872.5886307197 1010872.5886307197 1010872.5886307197 1010872.5886307197 1010872.5886307197 1010872.5886307197 1010872.5886307197 
7.txt 500000.0 1285229.1422143956 1285229.1422143956 1285229.1422143956 1285229.1422143956 1285229.1422143956 1285229.1422143956 1285229.1422143956 1285229.1422143956 1285229.1422143956 1285229.1422143956 
8.txt 500000.0 1049110.02295618 1049110.02295618 1049110.02295618 1049110.02295618 1049110.02295618 1049110.02295618 1049110.02295618 1049110.02295618 1049110.02295618 1049110.02295618 
9.txt 500000.0 1045325.9667675298 1045325.9667675298 1045325.9667675298 1045325.9667675298 1045325.9667675298 1045325.9667675298 1045325.9667675298 1045325.9667675298 1045325.9667675298 1045325.9667675298 
